Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2011-02-15T01:45:24.000,	23.68,	12.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:45:28.000,	26.77,	12.8,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:45:32.000,	28.83,	15.2,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:45:36.000,	31.92,	16.0,	14.77,	40.09,	0.0,	0.0
2011-02-15T01:45:40.000,	38.09,	19.2,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:45:44.000,	36.03,	20.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:45:48.000,	36.03,	22.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:45:52.000,	44.27,	27.2,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:45:56.000,	50.45,	32.0,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:46:00.000,	56.62,	40.0,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:46:04.000,	56.62,	41.6,	20.31,	42.0,	0.0,	0.0
2011-02-15T01:46:08.000,	64.86,	44.8,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:46:12.000,	68.98,	48.0,	20.31,	42.0,	0.0,	0.0
2011-02-15T01:46:16.000,	77.21,	54.4,	18.46,	42.0,	0.0,	0.0
2011-02-15T01:46:20.000,	85.45,	54.4,	16.62,	40.09,	0.0,	0.0
2011-02-15T01:46:24.000,	81.33,	54.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:46:28.000,	77.21,	51.2,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:46:32.000,	93.69,	67.2,	16.62,	40.09,	0.0,	0.0
2011-02-15T01:46:36.000,	101.92,	83.2,	20.31,	42.0,	0.0,	0.0
